,Unnamed: 0,지역명,스트레스 순위,복지 순위,보건 순위,교육 순위,여가 순위,안전 순위,최종순위,순위
0,3,울산광역시 동구,4,46,15,6,11.0,14,16.0,1
1,1,부산광역시 동구,2,4,47,65,1.0,16,22.5,2
2,10,울산광역시 남구,11,48,1,21,49.0,7,22.833,3
3,7,부산광역시 남구,8,20,12,31,23.0,50,24.0,4
4,0,부산광역시 영도구,1,17,7,62,5.0,53,24.167,5
5,17,울산광역시 북구,18,55,3,2,22.0,49,24.833,6
6,20,대구광역시 수성구,21,51,17,16,41.0,8,25.667,7
7,19,대전광역시 중구,20,7,18,24,43.0,42,25.667,8
8,12,울산광역시 중구,13,59,23,17,32.0,11,25.833,9
9,23,광주광역시 남구,24,3,42,5,26.0,56,26.0,10
10,11,부산광역시 북구,12,37,16,28,30.0,38,26.833,11
11,18,대구광역시 북구,19,15,41,19,54.0,17,27.5,12
12,34,인천광역시 계양구,35,30,27,32,16.0,26,27.667,13
13,32,대구광역시 남구,33,11,25,63,4.0,32,28.0,14
14,65,서울특별시 양천구,66,35,6,22,37.5,4,28.417,15
15,39,인천광역시 중구,40,60,12,9,12.0,41,29.0,16
16,51,서울특별시 성북구,52,22,11,34,37.5,22,29.75,17
17,25,대구광역시 동구,26,19,46,20,53.0,15,29.833,18
18,47,부산광역시 사상구,48,16,4,46,10.0,56,30.0,19
19,28,부산광역시 강서구,29,67,2,1,25.0,56,30.0,20
20,2,부산광역시 수영구,3,65,32,54,6.0,21,30.167,21
21,14,부산광역시 동래구,15,27,41,23,19.5,56,30.25,22
22,61,인천광역시 미추홀구,62,50,5,42,17.0,6,30.333,23
23,30,대전광역시 동구,31,10,49,33,14.0,46,30.5,24
24,42,대구광역시 달서구,43,47,9,12,65.0,9,30.833,25
25,13,광주광역시 북구,14,2,39,15,63.0,56,31.5,26
26,4,부산광역시 서구,5,45,19,61,3.0,56,31.5,27
27,56,인천광역시 동구,57,12,58,11,2.0,52,32.0,28
28,62,대전광역시 대덕구,63,9,35,30,24.0,33,32.333,29
29,31,광주광역시 광산구,32,6,28,3,69.0,56,32.333,30
30,6,부산광역시 중구,7,14,42,69,8.0,56,32.667,31
31,8,부산광역시 연제구,9,39,57,39,9.0,44,32.833,32
32,24,대전광역시 서구,25,34,29,14,64.0,31,32.833,33
33,64,인천광역시 남동구,65,24,22,10,57.0,20,33.0,34
34,36,대구광역시 중구,37,18,60,18,28.0,40,33.5,35
35,35,광주광역시 서구,36,8,22,13,66.0,56,33.5,36
36,67,서울특별시 노원구,68,33,8,25,59.0,10,33.833,37
37,22,서울특별시 은평구,23,31,40,47,46.0,19,34.333,38
38,38,대구광역시 서구,39,5,53,64,7.0,39,34.5,39
39,60,인천광역시 서구,61,44,20,8,61.0,13,34.5,40
40,9,부산광역시 금정구,10,21,48,44,35.0,54,35.333,41
41,29,부산광역시 부산진구,30,40,26,41,48.0,27,35.333,42
42,27,서울특별시 서대문구,28,49,10,48,33.0,45,35.5,43
43,5,부산광역시 해운대구,6,42,30,26,55.0,56,35.833,44
44,54,서울특별시 금천구,55,13,34,58,21.0,36,36.167,45
45,48,서울특별시 구로구,49,23,34,43,52.0,18,36.5,46
46,45,대전광역시 유성구,46,26,31,4,67.0,47,36.833,47
47,16,부산광역시 사하구,17,41,42,35,30.0,56,36.833,48
48,15,광주광역시 동구,16,1,56,60,40.0,55,38.0,49
49,37,서울특별시 영등포구,38,43,48,55,46.0,2,38.667,50
50,59,서울특별시 강동구,60,52,10,36,51.0,24,38.833,51
51,58,인천광역시 연수구,59,64,14,7,43.0,48,39.167,52
52,68,인천광역시 부평구,69,32,34,29,50.0,25,39.833,53
53,33,서울특별시 도봉구,34,53,21,45,30.0,56,39.833,54
54,57,서울특별시 종로구,58,25,50,59,13.0,37,40.333,55
55,26,서울특별시 강남구,27,69,45,40,60.0,1,40.333,56
56,46,서울특별시 동대문구,47,56,38,52,19.5,30,40.417,57
57,53,서울특별시 중랑구,54,38,37,57,34.0,23,40.5,58
58,43,서울특별시 강북구,44,36,54,66,39.0,5,40.667,59
59,63,서울특별시 동작구,64,29,33,51,36.0,35,41.333,60
60,21,서울특별시 성동구,22,63,52,56,27.0,28,41.333,61
61,52,서울특별시 서초구,53,68,43,27,56.0,3,41.667,62
62,41,서울특별시 관악구,42,28,13,68,46.0,56,42.167,63
63,50,서울특별시 강서구,51,61,36,38,62.0,12,43.333,64
64,49,서울특별시 용산구,50,66,24,67,15.0,43,44.167,65
65,44,서울특별시 광진구,45,57,55,49,43.0,29,46.333,66
66,66,서울특별시 중구,67,54,59,50,18.0,34,47.0,67
67,40,서울특별시 송파구,41,62,51,37,68.0,51,51.667,68
68,55,서울특별시 마포구,56,58,44,53,58.0,56,54.167,69
